"VIN","County","City","Year","Make","Model","Range"
"5YJSA1E24G","King","Kenmore",2016,"WallE","Beta",210
"5YJ3E1EBXJ","King","Seattle",2018,"WallE","Alpha",215
"5YJYGDEE6L","King","Redmond",2020,"WallE","Omega",291
"5YJSA1E22G","King","Kirkland",2016,"WallE","Beta",210
"5YJSA1CN0D","King","Auburn",2013,"WallE","Beta",208
"5YJ3E1EB5L","King","Bellevue",2020,"WallE","Alpha",322
"5YJ3E1EB9L","King","Seattle",2020,"WallE","Alpha",322
"5YJ3E1EA7L","King","Federal Way",2020,"WallE","Alpha",266
"5YJ3E1EB6K","King","Redmond",2019,"WallE","Alpha",220
"5YJ3E1EA9J","Snohomish","Stanwood",2018,"WallE","Alpha",215
"5YJYGDEE8L","King","Bellevue",2020,"WallE","Omega",291
"5YJ3E1EB0K","Snohomish","Lake Stevens",2019,"WallE","Alpha",220
"5YJ3E1EA6K","Snohomish","Snohomish",2019,"WallE","Alpha",220
"5YJ3E1EA3L","King","Bellevue",2020,"WallE","Alpha",266
"5YJSA1E25L","King","Kirkland",2020,"WallE","Beta",330
"5YJSA1H1XE","King","Kirkland",2014,"WallE","Beta",208
"5YJXCBE29J","Clark","Battle Ground",2018,"WallE","Delta",238
"5YJ3E1EB9K","Kitsap","Bainbridge Island",2019,"WallE","Alpha",220
"5YJSA1E2XJ","Stevens","Nine Mile Falls",2018,"WallE","Beta",249
"5YJSA1BG7D","King","Seattle",2013,"WallE","Beta",208
"5YJXCBE45L","Clark","Vancouver",2020,"WallE","Delta",293
"5YJ3E1EB1K","King","Sammamish",2019,"WallE","Alpha",220
"5YJ3E1EA1J","Kitsap","Bainbridge Island",2018,"WallE","Alpha",215
"5YJ3E1EAXH","King","Seattle",2017,"WallE","Alpha",220
"5YJXCDE2XL","King","Lake Forest Park",2020,"WallE","Delta",289
"5YJ3E1EB5J","King","Renton",2018,"WallE","Alpha",215
"5YJXCDE26L","King","Seattle",2020,"WallE","Delta",289
"5YJ3E1EB8L","Clark","Ridgefield",2020,"WallE","Alpha",322
"5YJ3E1EB1K","Snohomish","Lake Stevens",2019,"WallE","Alpha",220
"5YJ3E1EBXK","King","Redmond",2019,"WallE","Alpha",220
"5YJ3E1EA1J","King","Kirkland",2018,"WallE","Alpha",215
"5YJ3E1EB7J","Kitsap","Bainbridge Island",2018,"WallE","Alpha",215
"5YJ3E1EB0J","Snohomish","Lynnwood",2018,"WallE","Alpha",215
"5YJ3E1EB7J","King","Seattle",2018,"WallE","Alpha",215
"5YJ3E1EA3J","King","Auburn",2018,"WallE","Alpha",215
"5YJ3E1EB3J","King","Bellevue",2018,"WallE","Alpha",215
"5YJ3E1EA1J","King","Kirkland",2018,"WallE","Alpha",215
"5YJ3E1EA7J","King","Renton",2018,"WallE","Alpha",215
"5YJ3E1EA6K","King","Seattle",2019,"WallE","Alpha",220
"5YJ3E1EB5J","Yakima","Yakima",2018,"WallE","Alpha",215
"5YJSA1E20H","King","Seattle",2017,"WallE","Beta",210
"5YJ3E1EBXJ","King","Sammamish",2018,"WallE","Alpha",215
"5YJ3E1EA7J","King","Lake Forest Park",2018,"WallE","Alpha",215
"5YJ3E1EB1J","King","Kirkland",2018,"WallE","Alpha",215
"5YJ3E1EBXJ","Snohomish","Bothell",2018,"WallE","Alpha",215
"5YJ3E1EB9J","King","Kirkland",2018,"WallE","Alpha",215
"5YJXCAE24G","Thurston","Yelm",2016,"WallE","Delta",200
"5YJ3E1EA5L","Clallam","Port Angeles",2020,"WallE","Alpha",266
"5YJ3E1EB8L","King","Seatac",2020,"WallE","Alpha",322
"5YJ3E1EB8J","King","Bellevue",2018,"WallE","Alpha",215
"5YJYGDEE6L","King","Seattle",2020,"WallE","Omega",291
"5YJ3E1EB8L","King","Seattle",2020,"WallE","Alpha",322
"5YJXCBE27L","King","Kirkland",2020,"WallE","Delta",293
"5YJ3E1EB2K","King","Des Moines",2019,"WallE","Alpha",220
"5YJYGDEE6L","Clark","Vancouver",2020,"WallE","Omega",291
"5YJRE1A11A","King","Bellevue",2010,"WallE","Tau",245
"5YJSA1CN2D","King","Kirkland",2013,"WallE","Beta",208
"5YJ3E1EB2K","King","Seattle",2019,"WallE","Alpha",220
"5YJ3E1EB4J","King","Kirkland",2018,"WallE","Alpha",215
"5YJ3E1EB7J","King","Seattle",2018,"WallE","Alpha",215
"5YJ3E1EB1J","Snohomish","Snohomish",2018,"WallE","Alpha",215
"5YJXCBE29K","King","Bellevue",2019,"WallE","Delta",289
"5YJ3E1EB9J","King","Seattle",2018,"WallE","Alpha",215
"5YJXCBE29L","Clark","Vancouver",2020,"WallE","Delta",293
"5YJ3E1EB7K","King","Kirkland",2019,"WallE","Alpha",220
"5YJSA1E21J","King","Bellevue",2018,"WallE","Beta",249
"5YJ3E1EB3L","King","Sammamish",2020,"WallE","Alpha",322
"5YJ3E1EA6J","King","Sammamish",2018,"WallE","Alpha",215
"5YJ3E1EB1J","King","Kirkland",2018,"WallE","Alpha",215
"5YJSA1V29F","King","Kirkland",2015,"WallE","Beta",208
"5YJ3E1EB1J","Clark","Vancouver",2018,"WallE","Alpha",215
"5YJ3E1EA5L","King","Shoreline",2020,"WallE","Alpha",266
"5YJ3E1EB1J","King","Kirkland",2018,"WallE","Alpha",215
"5YJSA1H19E","King","Kent",2014,"WallE","Beta",208
"5YJ3E1EA2L","King","Newcastle",2020,"WallE","Alpha",266
"5YJ3E1EB3J","King","Seattle",2018,"WallE","Alpha",215
"5YJ3E1EA2J","King","Seattle",2018,"WallE","Alpha",215
"5YJ3E1EA1K","King","Bellevue",2019,"WallE","Alpha",220
"5YJSA1CG1D","King","Federal Way",2013,"WallE","Beta",208
"5YJSA1S19E","King","Kirkland",2014,"WallE","Beta",208
"5YJ3E1EBXK","King","Kirkland",2019,"WallE","Alpha",220
"5YJSA1DN0C","Yakima","Toppenish",2012,"WallE","Beta",265
"5YJSA1E21J","King","Newcastle",2018,"WallE","Beta",249
"5YJ3E1EA7J","King","Bellevue",2018,"WallE","Alpha",215
"5YJ3E1EB4L","Clark","Ridgefield",2020,"WallE","Alpha",322
"5YJ3E1EBXJ","Yakima","Yakima",2018,"WallE","Alpha",215
"5YJ3E1EB2L","King","Seattle",2020,"WallE","Alpha",322
"5YJ3E1EB6J","King","Kirkland",2018,"WallE","Alpha",215
"5YJ3E1EA0K","Clark","Battle Ground",2019,"WallE","Alpha",220
"5YJSA1E28J","Clark","Vancouver",2018,"WallE","Beta",249
"5YJ3E1EB0J","King","Issaquah",2018,"WallE","Alpha",215
"5YJXCBE22H","King","Issaquah",2017,"WallE","Delta",200
"5YJ3E1EA5J","Clark","Vancouver",2018,"WallE","Alpha",215
"5YJ3E1EB6J","King","Kirkland",2018,"WallE","Alpha",215
"5YJXCBE20L","King","Bellevue",2020,"WallE","Delta",293
"5YJ3E1EAXL","King","Bothell",2020,"WallE","Alpha",266
"5YJSA1E22H","King","Redmond",2017,"WallE","Beta",210
"5YJSA1H24F","King","Seattle",2015,"WallE","Beta",208
"5YJ3E1EA0K","King","Lake Forest Park",2019,"WallE","Alpha",220
"5YJ3E1EA9J","King","Bellevue",2018,"WallE","Alpha",215
"5YJ3E1EA1K","King","Sammamish",2019,"WallE","Alpha",220
"5YJ3E1EA1K","Clark","Camas",2019,"WallE","Alpha",220
"5YJ3E1EB2K","King","Seattle",2019,"WallE","Alpha",220
"5YJYGDEE8L","King","Seattle",2020,"WallE","Omega",291
"5YJYGDEF3L","Snohomish","Monroe",2020,"WallE","Omega",291
"5YJXCBE49J","King","Covington",2018,"WallE","Delta",238
"5YJ3E1EA8K","Snohomish","Lake Stevens",2019,"WallE","Alpha",220
"5YJ3E1EA0J","King","Issaquah",2018,"WallE","Alpha",215
"5YJYGDEE4L","Clark","Camas",2020,"WallE","Omega",291
"5YJ3E1EB6J","King","Sammamish",2018,"WallE","Alpha",215
"5YJ3E1EB1L","King","Seattle",2020,"WallE","Alpha",322
"5YJ3E1EB1L","Yakima","Yakima",2020,"WallE","Alpha",322
"5YJ3E1EB9K","King","Kirkland",2019,"WallE","Alpha",220
"5YJSA1CP1D","King","Maple Valley",2013,"WallE","Beta",208
"5YJXCBE28K","Clark","Vancouver",2019,"WallE","Delta",289
"5YJXCDE23J","King","Federal Way",2018,"WallE","Delta",238
"5YJ3E1EB9K","King","Sammamish",2019,"WallE","Alpha",220
"5YJ3E1EA6K","King","Normandy Park",2019,"WallE","Alpha",220
"5YJSA1S13E","King","Bellevue",2014,"WallE","Beta",208
"5YJSA1E45F","Kitsap","Bainbridge Island",2015,"WallE","Beta",208
"5YJ3E1EA6L","King","Redmond",2020,"WallE","Alpha",266
"5YJSA1H19E","Kitsap","Bainbridge Island",2014,"WallE","Beta",208
"5YJ3E1EB1J","King","Bellevue",2018,"WallE","Alpha",215
"5YJ3E1EBXJ","King","Bellevue",2018,"WallE","Alpha",215
"5YJ3E1EB5J","King","Mercer Island",2018,"WallE","Alpha",215
"5YJXCAE24H","Snohomish","Lake Stevens",2017,"WallE","Delta",200
"5YJ3E1EB2J","King","Seattle",2018,"WallE","Alpha",215
"5YJ3E1EB7J","King","Shoreline",2018,"WallE","Alpha",215
"5YJ3E1EB2K","King","Redmond",2019,"WallE","Alpha",220
"5YJXCAE24H","King","Bellevue",2017,"WallE","Delta",200
"5YJ3E1EB8K","Jefferson","Port Townsend",2019,"WallE","Alpha",220
"5YJXCDE29J","King","Bothell",2018,"WallE","Delta",238
"5YJSA1DN0C","Thurston","Olympia",2012,"WallE","Beta",265
"5YJ3E1EC3L","Clark","Camas",2020,"WallE","Alpha",308
"5YJ3E1EA1K","King","Seattle",2019,"WallE","Alpha",220
"5YJ3E1EB6J","King","Seattle",2018,"WallE","Alpha",215
"5YJSA1E23J","Clark","Vancouver",2018,"WallE","Beta",249
"5YJ3E1EB2J","King","Kirkland",2018,"WallE","Alpha",215
"5YJ3E1EA9J","King","Kirkland",2018,"WallE","Alpha",215
"5YJSA1E2XG","King","Renton",2016,"WallE","Beta",210
"5YJ3E1EA0K","King","Issaquah",2019,"WallE","Alpha",220
"5YJ3E1EA0L","King","Seattle",2020,"WallE","Alpha",266
"5YJSA1E22F","Kitsap","Silverdale",2015,"WallE","Beta",208
"5YJ3E1EB5J","King","Bothell",2018,"WallE","Alpha",215
"5YJ3E1EB2K","King","Woodinville",2019,"WallE","Alpha",220
"5YJ3E1EB4L","Yakima","Sunnyside",2020,"WallE","Alpha",322
"5YJSA1S26F","King","Bellevue",2015,"WallE","Beta",208
"5YJ3E1EA8H","King","Shoreline",2017,"WallE","Alpha",220
"5YJXCDE28J","King","Bellevue",2018,"WallE","Delta",238
"5YJSA1DNXD","King","Kent",2013,"WallE","Beta",208
"5YJ3E1EB0J","King","Bellevue",2018,"WallE","Alpha",215
"5YJSA1E27F","King","North Bend",2015,"WallE","Beta",208
"5YJ3E1EA7J","King","Bellevue",2018,"WallE","Alpha",215
"5YJXCBE26H","Clark","Vancouver",2017,"WallE","Delta",200
"5YJ3E1EA3K","King","Bellevue",2019,"WallE","Alpha",220
"5YJ3E1EA3J","King","Kirkland",2018,"WallE","Alpha",215
"5YJSA1E27K","King","Shoreline",2019,"WallE","Beta",270
"5YJSA1E46L","Thurston","Olympia",2020,"WallE","Beta",337
"5YJ3E1EB7J","King","Seattle",2018,"WallE","Alpha",215
"5YJXCBE23K","King","Kirkland",2019,"WallE","Delta",289
"5YJ3E1EA5K","King","Seattle",2019,"WallE","Alpha",220
"5YJSA1E2XG","King","Seattle",2016,"WallE","Beta",210
"5YJ3E1EA3L","Clark","Vancouver",2020,"WallE","Alpha",266
"5YJXCAE2XK","King","Kirkland",2019,"WallE","Delta",289
"5YJ3E1EB8L","King","Bellevue",2020,"WallE","Alpha",322
"5YJSA1E14G","King","Mercer Island",2016,"WallE","Beta",210
"5YJSA1E27L","King","Redmond",2020,"WallE","Beta",330
"5YJ3E1EAXK","King","Bellevue",2019,"WallE","Alpha",220
"5YJ3E1EB3K","Snohomish","Bothell",2019,"WallE","Alpha",220
"5YJXCBE21H","King","Kirkland",2017,"WallE","Delta",200
"5YJ3E1EB6J","King","Medina",2018,"WallE","Alpha",215
"5YJSA1E15G","Kitsap","Bremerton",2016,"WallE","Beta",210
"5YJ3E1EBXJ","Clark","Vancouver",2018,"WallE","Alpha",215
"5YJSA1CG6D","Snohomish","Snohomish",2013,"WallE","Beta",208
"5YJSA1H19F","King","Bellevue",2015,"WallE","Beta",208
"5YJ3E1EB8K","King","Shoreline",2019,"WallE","Alpha",220
"5YJ3E1EB9J","Kitsap","Bainbridge Island",2018,"WallE","Alpha",215
"5YJSA1E2XG","King","Bellevue",2016,"WallE","Beta",210
"5YJ3E1EA7K","King","Issaquah",2019,"WallE","Alpha",220
"5YJ3E1EB7J","King","Kirkland",2018,"WallE","Alpha",215
"5YJ3E1EA1L","King","Sammamish",2020,"WallE","Alpha",266
"5YJSA1CN9D","King","Seattle",2013,"WallE","Beta",208
"5YJ3E1EB4L","King","Kirkland",2020,"WallE","Alpha",322
"5YJXCBE46G","King","Kent",2016,"WallE","Delta",200
"5YJ3E1EA4J","King","Seattle",2018,"WallE","Alpha",215
"5YJSA1E21G","King","Mercer Island",2016,"WallE","Beta",210
"5YJ3E1EB3K","King","Seattle",2019,"WallE","Alpha",220
"5YJ3E1EB9L","King","Bellevue",2020,"WallE","Alpha",322
"5YJ3E1EB2J","King","Bellevue",2018,"WallE","Alpha",215
"5YJ3E1EB4J","King","Seattle",2018,"WallE","Alpha",215
"5YJSA1H18E","King","North Bend",2014,"WallE","Beta",208
"5YJSA1H12E","King","Newcastle",2014,"WallE","Beta",208
"5YJ3E1EB6J","Clark","Vancouver",2018,"WallE","Alpha",215
"5YJYGDEE2L","King","Kirkland",2020,"WallE","Omega",291
"5YJSA1E25L","King","Seattle",2020,"WallE","Beta",330
"5YJ3E1EA9J","King","Redmond",2018,"WallE","Alpha",215
"5YJ3E1EB7K","King","Bellevue",2019,"WallE","Alpha",220
"5YJ3E1EB0K","King","Seattle",2019,"WallE","Alpha",220
"5YJ3E1EA9J","King","Kirkland",2018,"WallE","Alpha",215
"5YJSA1E27G","Kitsap","Bremerton",2016,"WallE","Beta",210
"5YJYGDEF3L","King","Shoreline",2020,"WallE","Omega",291
"5YJ3E1EB8J","King","Kent",2018,"WallE","Alpha",215
"5YJ3E1EB3L","Kitsap","Bainbridge Island",2020,"WallE","Alpha",322
"5YJ3E1EA9K","King","Bellevue",2019,"WallE","Alpha",220
"5YJ3E1EB2J","King","Seattle",2018,"WallE","Alpha",215
"5YJSA1E27J","King","Kirkland",2018,"WallE","Beta",249
"5YJXCDE25L","King","Shoreline",2020,"WallE","Delta",289
"5YJ3E1EA4L","Snohomish","Mill Creek",2020,"WallE","Alpha",266
"5YJYGDEFXL","King","Kirkland",2020,"WallE","Omega",291
"5YJ3E1EB8J","King","Woodinville",2018,"WallE","Alpha",215
"5YJ3E1EA2J","King","Kent",2018,"WallE","Alpha",215
"5YJYGDEE6L","King","Bellevue",2020,"WallE","Omega",291
"5YJ3E1EA3L","King","Seattle",2020,"WallE","Alpha",266
"5YJ3E1EA6J","King","Enumclaw",2018,"WallE","Alpha",215
"5YJ3E1EA9J","King","Kirkland",2018,"WallE","Alpha",215
"5YJYGDEE7L","King","Renton",2020,"WallE","Omega",291
"5YJSA1E22G","King","Seattle",2016,"WallE","Beta",210
"5YJ3E1EA3K","Kitsap","Bainbridge Island",2019,"WallE","Alpha",220
"5YJYGDEF8L","King","Des Moines",2020,"WallE","Omega",291
"5YJ3E1EA1J","Clark","Ridgefield",2018,"WallE","Alpha",215
"5YJSA1E25H","King","Seattle",2017,"WallE","Beta",210
"5YJ3E1EA6K","King","Bellevue",2019,"WallE","Alpha",220
"5YJ3E1EB5J","King","Seattle",2018,"WallE","Alpha",215
"5YJSA1E20J","Clark","Brush Prairie",2018,"WallE","Beta",249
"5YJ3E1EA6K","King","Auburn",2019,"WallE","Alpha",220
"5YJ3E1EAXJ","Clark","Camas",2018,"WallE","Alpha",215
"5YJYGDEE8L","Clark","Ridgefield",2020,"WallE","Omega",291
"5YJSA1E22K","King","Seattle",2019,"WallE","Beta",270
"5YJXCAE48G","King","Shoreline",2016,"WallE","Delta",200
"5YJXCAE48G","King","Seattle",2016,"WallE","Delta",200
"5YJ3E1EB4K","Clark","Ridgefield",2019,"WallE","Alpha",220
"5YJ3E1EA5J","King","Renton",2018,"WallE","Alpha",215
"5YJ3E1EA4K","Snohomish","Snohomish",2019,"WallE","Alpha",220
"5YJXCAE24H","King","North Bend",2017,"WallE","Delta",200
"5YJSA1E21J","King","Redmond",2018,"WallE","Beta",249
"5YJXCDE28H","King","Kirkland",2017,"WallE","Delta",200
"5YJXCBE25L","King","Bellevue",2020,"WallE","Delta",293
"5YJ3E1EA4J","King","Kent",2018,"WallE","Alpha",215
"5YJ3E1EB4L","King","Bellevue",2020,"WallE","Alpha",322
"5YJSA1E2XK","King","Kirkland",2019,"WallE","Beta",270
"5YJ3E1EA8K","King","Algona",2019,"WallE","Alpha",220
"5YJ3E1EB2L","King","Seattle",2020,"WallE","Alpha",322
"5YJ3E1EB5J","King","Kent",2018,"WallE","Alpha",215
"5YJ3E1EB3J","King","Sammamish",2018,"WallE","Alpha",215
"5YJSA1CG6D","King","Bellevue",2013,"WallE","Beta",208
"5YJ3E1EA0L","King","Bellevue",2020,"WallE","Alpha",266
"5YJ3E1EA4L","Clark","Vancouver",2020,"WallE","Alpha",266
"5YJ3E1EB5J","King","Bellevue",2018,"WallE","Alpha",215
"5YJ3E1EA6L","King","Kent",2020,"WallE","Alpha",266
"5YJYGDEFXL","King","Issaquah",2020,"WallE","Omega",291
"5YJ3E1EA0J","Snohomish","Lake Stevens",2018,"WallE","Alpha",215
"5YJXCBE20J","King","Bellevue",2018,"WallE","Delta",238
"5YJXCDE27L","King","Bellevue",2020,"WallE","Delta",289
"5YJ3E1EA9J","King","Kirkland",2018,"WallE","Alpha",215
"5YJ3E1EB6J","Clark","Brush Prairie",2018,"WallE","Alpha",215
"5YJ3E1EBXJ","King","Seattle",2018,"WallE","Alpha",215
"5YJXCBE28J","King","Seattle",2018,"WallE","Delta",238
"5YJSA1E23H","King","Kent",2017,"WallE","Beta",210
"5YJSA1E23J","King","Renton",2018,"WallE","Beta",249
"5YJ3E1EA1J","King","Bothell",2018,"WallE","Alpha",215
"5YJ3E1EB7J","King","Seattle",2018,"WallE","Alpha",215
"5YJ3E1EA7L","Clark","Vancouver",2020,"WallE","Alpha",266
"5YJ3E1EB5J","King","Kirkland",2018,"WallE","Alpha",215
"5YJYGDEE6L","King","Kirkland",2020,"WallE","Omega",291
"5YJ3E1EB9K","King","Seattle",2019,"WallE","Alpha",220
