Date,CustomerType,ProductLine,UnitPrice,Payment,Rating
1/7/2024,Member,Sports & Travel,68.12,Ewallet,6.8
1/7/2024,Member,Electronics,77.72,Credit card,8.8
1/7/2024,Member,Home & Lifestyle,21.54,Credit card,8.8
1/7/2024,Member,Fashion & Accs,97.61,Ewallet,9.9
1/7/2024,Normal,Sports & Travel,60.95,Credit card,6
1/7/2024,Member,Food & Beverages,89.14,Credit card,7.8
1/8/2024,Member,Fashion & Accs,51.89,Cash,4.5
1/8/2024,Member,Food & Beverages,33.21,Ewallet,6
1/8/2024,Normal,Fashion & Accs,31.73,Credit card,5.9
1/8/2024,Member,Home & Lifestyle,49.1,Credit card,6.4
1/8/2024,Normal,Home & Lifestyle,45.38,Credit card,8.7
1/8/2024,Member,Home & Lifestyle,55.57,Credit card,5.9
1/8/2024,Member,Food & Beverages,68.54,Ewallet,8.5
1/8/2024,Member,Fashion & Accs,65.23,Credit card,5.2
1/8/2024,Normal,Fashion & Accs,12.78,Ewallet,9.5
1/8/2024,Member,Food & Beverages,74.6,Cash,9.5
1/8/2024,Member,Sports & Travel,64.83,Credit card,8
1/8/2024,Normal,Sports & Travel,37.14,Ewallet,5
1/8/2024,Normal,Electronics,50.23,Cash,9
1/8/2024,Member,Sports & Travel,12.76,Ewallet,7.8
1/8/2024,Member,Electronics,79.59,Cash,6.6
1/8/2024,Member,Sports & Travel,48.5,Cash,6.7
1/8/2024,Member,Food & Beverages,24.31,Credit card,4.3
1/8/2024,Member,Food & Beverages,72.88,Cash,4
1/9/2024,Member,Sports & Travel,11.85,Cash,4.1
1/9/2024,Normal,Electronics,96.37,Cash,6
1/9/2024,Normal,Fashion & Accs,49.32,Ewallet,7.1
1/9/2024,Member,Home & Lifestyle,21.9,Ewallet,4.7
1/9/2024,Member,Fashion & Accs,38.54,Ewallet,5.6
1/9/2024,Member,Fashion & Accs,49.04,Credit card,8.6
1/9/2024,Normal,Home & Lifestyle,15.8,Cash,7.8
1/9/2024,Normal,Sports & Travel,95.44,Cash,5.2
1/10/2024,Normal,Fashion & Accs,79.86,Credit card,5.5
1/10/2024,Member,Electronics,74.79,Cash,4.9
1/10/2024,Member,Health & Beauty,36.26,Credit card,7.2
1/10/2024,Normal,Electronics,13.78,Ewallet,9
1/10/2024,Member,Food & Beverages,50.49,Cash,5.4
1/10/2024,Member,Home & Lifestyle,78.38,Ewallet,5.8
1/10/2024,Member,Sports & Travel,21.98,Ewallet,5.1
1/10/2024,Normal,Sports & Travel,83.14,Credit card,6.6
1/10/2024,Normal,Sports & Travel,83.78,Cash,5.1
1/11/2024,Normal,Food & Beverages,24.94,Credit card,5.6
1/11/2024,Normal,Fashion & Accs,89.69,Ewallet,4.9
1/11/2024,Member,Food & Beverages,36.77,Cash,7.4
1/11/2024,Member,Sports & Travel,82.33,Credit card,7.5
1/11/2024,Member,Sports & Travel,87.16,Credit card,9.7
1/11/2024,Member,Food & Beverages,48.5,Ewallet,9.4
1/11/2024,Normal,Home & Lifestyle,96.52,Cash,4.5
1/11/2024,Normal,Food & Beverages,13.79,Credit card,7.8
1/12/2024,Member,Sports & Travel,57.12,Credit card,6.5
1/12/2024,Normal,Health & Beauty,57.22,Ewallet,8.3
1/12/2024,Member,Electronics,91.56,Ewallet,6
1/12/2024,Member,Health & Beauty,27.07,Credit card,5.3
1/12/2024,Normal,Fashion & Accs,83.25,Credit card,4.4
1/12/2024,Member,Electronics,88.67,Ewallet,7.3
1/12/2024,Normal,Fashion & Accs,29.42,Ewallet,8.9
1/12/2024,Member,Fashion & Accs,20.01,Credit card,5.7
1/12/2024,Normal,Sports & Travel,23.01,Ewallet,7.9
1/12/2024,Normal,Home & Lifestyle,97.5,Ewallet,8
1/12/2024,Normal,Home & Lifestyle,51.07,Cash,7
1/13/2024,Member,Sports & Travel,72.6,Cash,6.9
1/13/2024,Member,Home & Lifestyle,81.01,Credit card,9.3
1/13/2024,Member,Fashion & Accs,74.29,Cash,5
1/13/2024,Normal,Electronics,23.46,Ewallet,6.4
1/13/2024,Member,Health & Beauty,39.62,Credit card,6.8
1/13/2024,Member,Food & Beverages,21.04,Cash,7.6
1/13/2024,Member,Fashion & Accs,59.86,Ewallet,6.7
1/13/2024,Normal,Food & Beverages,72.39,Credit card,8.1
1/13/2024,Normal,Sports & Travel,45.58,Cash,5
1/13/2024,Normal,Electronics,41.65,Credit card,5.4
1/14/2024,Member,Health & Beauty,60.47,Credit card,5.6
1/14/2024,Normal,Sports & Travel,34.81,Credit card,7
1/14/2024,Member,Fashion & Accs,18.08,Credit card,9.5
1/14/2024,Member,Fashion & Accs,96.7,Ewallet,7
1/14/2024,Normal,Food & Beverages,99.69,Cash,9.9
1/14/2024,Normal,Health & Beauty,17.75,Cash,8.6
1/14/2024,Normal,Food & Beverages,84.83,Ewallet,8.8
1/14/2024,Normal,Health & Beauty,53.19,Ewallet,5
1/14/2024,Normal,Food & Beverages,73.06,Credit card,4.2
1/14/2024,Normal,Food & Beverages,31.77,Ewallet,6.2
1/14/2024,Member,Electronics,44.84,Credit card,7.5
1/14/2024,Member,Fashion & Accs,56.04,Ewallet,4.4
1/14/2024,Normal,Electronics,61.41,Cash,9.8
1/15/2024,Member,Home & Lifestyle,89.21,Credit card,6.5
1/15/2024,Normal,Electronics,75.66,Ewallet,7.8
1/15/2024,Normal,Home & Lifestyle,97.37,Credit card,4.9
1/15/2024,Normal,Sports & Travel,19.1,Cash,9.7
1/15/2024,Member,Food & Beverages,83.77,Credit card,7
1/15/2024,Normal,Electronics,55.87,Cash,5.8
1/15/2024,Member,Health & Beauty,66.47,Credit card,5
1/15/2024,Member,Sports & Travel,93.72,Cash,4.5
1/15/2024,Normal,Home & Lifestyle,11.43,Cash,7.7
1/15/2024,Normal,Fashion & Accs,73.52,Ewallet,4.6
1/15/2024,Member,Health & Beauty,81.23,Cash,9
1/15/2024,Member,Food & Beverages,17.44,Cash,8.1
1/15/2024,Normal,Electronics,60.88,Ewallet,4.7
1/16/2024,Normal,Home & Lifestyle,95.58,Cash,4.8
1/16/2024,Member,Sports & Travel,90.74,Credit card,6.2
1/16/2024,Normal,Food & Beverages,93.26,Cash,8.8
1/16/2024,Member,Sports & Travel,17.14,Credit card,7.9
1/16/2024,Normal,Fashion & Accs,39.21,Credit card,9
1/16/2024,Member,Home & Lifestyle,63.56,Cash,4.3
1/16/2024,Member,Sports & Travel,15.49,Cash,6.3
1/16/2024,Member,Fashion & Accs,51.36,Ewallet,5.2
1/16/2024,Normal,Sports & Travel,93.18,Credit card,8.5
1/16/2024,Normal,Food & Beverages,52.6,Cash,7.6
1/17/2024,Normal,Sports & Travel,40.62,Credit card,4.1
1/17/2024,Normal,Food & Beverages,81.21,Credit card,6.3
1/17/2024,Member,Food & Beverages,57.89,Ewallet,8.9
1/17/2024,Normal,Home & Lifestyle,21.52,Credit card,9.4
1/17/2024,Member,Home & Lifestyle,94.59,Credit card,4.9
1/17/2024,Member,Health & Beauty,62.82,Ewallet,4.9
1/17/2024,Member,Food & Beverages,65.65,Cash,6
1/17/2024,Member,Sports & Travel,71.92,Credit card,4.3
1/17/2024,Normal,Sports & Travel,25.7,Ewallet,6.1
1/17/2024,Member,Home & Lifestyle,86.72,Ewallet,7.9
1/17/2024,Normal,Sports & Travel,58.91,Ewallet,9.7
1/18/2024,Member,Fashion & Accs,88.15,Ewallet,7.9
1/18/2024,Normal,Health & Beauty,39.42,Cash,8.4
1/18/2024,Normal,Electronics,26.31,Credit card,8.8
1/18/2024,Normal,Fashion & Accs,60.74,Ewallet,5
1/18/2024,Normal,Food & Beverages,19.79,Ewallet,8.7
1/18/2024,Member,Home & Lifestyle,19.36,Ewallet,8.7
1/18/2024,Member,Sports & Travel,89.06,Cash,9.9
1/18/2024,Member,Sports & Travel,90.63,Cash,5.1
1/18/2024,Member,Fashion & Accs,17.48,Credit card,6.1
1/19/2024,Member,Electronics,12.1,Ewallet,8.6
1/19/2024,Member,Sports & Travel,80.93,Credit card,9
1/19/2024,Normal,Fashion & Accs,99.1,Cash,4.2
1/19/2024,Normal,Sports & Travel,63.06,Ewallet,7
1/19/2024,Normal,Sports & Travel,64.19,Credit card,6.7
1/19/2024,Normal,Home & Lifestyle,45.68,Ewallet,5.7
1/19/2024,Member,Food & Beverages,59.59,Cash,9.8
1/19/2024,Member,Electronics,11.94,Credit card,8.1
1/19/2024,Normal,Electronics,56.13,Ewallet,8.6
1/19/2024,Normal,Food & Beverages,43.18,Credit card,8.3
1/19/2024,Member,Electronics,52.89,Credit card,9.8
1/19/2024,Normal,Food & Beverages,33.88,Ewallet,9.6
1/19/2024,Member,Sports & Travel,67.26,Credit card,8
1/19/2024,Member,Home & Lifestyle,88.61,Cash,7.7
1/19/2024,Member,Home & Lifestyle,58.07,Ewallet,4.3
1/19/2024,Normal,Food & Beverages,51.28,Cash,6.5
1/20/2024,Member,Sports & Travel,82.93,Ewallet,9.6
1/20/2024,Member,Health & Beauty,55.5,Credit card,6.6
1/20/2024,Normal,Sports & Travel,93.14,Ewallet,4.1
1/20/2024,Normal,Home & Lifestyle,53.44,Ewallet,4.1
1/20/2024,Normal,Home & Lifestyle,37.48,Credit card,7.7
1/20/2024,Normal,Fashion & Accs,15.62,Ewallet,9.1
1/20/2024,Member,Home & Lifestyle,72.35,Cash,5.4
1/20/2024,Normal,Health & Beauty,64.08,Ewallet,7.6
1/20/2024,Member,Fashion & Accs,63.88,Ewallet,9.9
1/20/2024,Member,Home & Lifestyle,89.25,Cash,4.7
1/21/2024,Normal,Home & Lifestyle,73.22,Cash,7.2
1/21/2024,Normal,Health & Beauty,99.19,Credit card,5.5
1/21/2024,Member,Health & Beauty,53.17,Cash,8.9
1/21/2024,Member,Sports & Travel,98.13,Cash,8.9
1/21/2024,Member,Food & Beverages,36.36,Cash,7.1
1/21/2024,Normal,Home & Lifestyle,77.95,Ewallet,8
1/21/2024,Member,Food & Beverages,68.98,Cash,4.8
1/21/2024,Normal,Food & Beverages,54.67,Credit card,8.6
1/22/2024,Normal,Health & Beauty,20.38,Cash,6
1/22/2024,Member,Health & Beauty,81.51,Ewallet,9.2
1/22/2024,Member,Home & Lifestyle,39.39,Credit card,8.7
1/22/2024,Normal,Food & Beverages,28.86,Credit card,8
1/22/2024,Normal,Home & Lifestyle,30.68,Ewallet,9.1
1/22/2024,Normal,Health & Beauty,55.81,Cash,9.9
1/22/2024,Normal,Home & Lifestyle,74.67,Ewallet,9.4
1/23/2024,Member,Health & Beauty,95.95,Ewallet,8.8
1/23/2024,Normal,Electronics,84.05,Cash,9.8
1/23/2024,Member,Food & Beverages,47.63,Cash,5
1/23/2024,Member,Sports & Travel,89.8,Credit card,5.4
1/23/2024,Normal,Electronics,66.06,Cash,7.3
1/23/2024,Member,Home & Lifestyle,83.77,Ewallet,5.4
1/23/2024,Member,Home & Lifestyle,47.38,Cash,7.1
1/23/2024,Normal,Health & Beauty,58.15,Cash,8.4
1/23/2024,Normal,Health & Beauty,99.96,Cash,6.1
1/23/2024,Member,Fashion & Accs,17.94,Ewallet,6.8
1/23/2024,Member,Food & Beverages,38.47,Cash,7.7
1/23/2024,Normal,Fashion & Accs,45.44,Cash,9.2
1/23/2024,Normal,Health & Beauty,10.99,Credit card,9.3
1/23/2024,Normal,Fashion & Accs,30.61,Ewallet,5.2
1/23/2024,Normal,Electronics,83.08,Ewallet,6.4
1/23/2024,Normal,Food & Beverages,19.25,Ewallet,6.6
1/23/2024,Member,Food & Beverages,98.53,Credit card,4
1/24/2024,Member,Home & Lifestyle,85.72,Ewallet,5.1
1/24/2024,Member,Fashion & Accs,86.68,Credit card,7.2
1/24/2024,Member,Electronics,48.62,Cash,5
1/24/2024,Member,Home & Lifestyle,60.87,Cash,5.5
1/24/2024,Normal,Home & Lifestyle,73.28,Ewallet,8.4
1/24/2024,Normal,Health & Beauty,77.5,Ewallet,4.3
1/24/2024,Normal,Sports & Travel,78.77,Cash,6.4
1/24/2024,Normal,Sports & Travel,76.6,Ewallet,6
1/24/2024,Normal,Electronics,10.56,Cash,7.6
1/24/2024,Member,Electronics,40.3,Credit card,7
1/24/2024,Member,Sports & Travel,23.08,Ewallet,4.9
1/24/2024,Member,Fashion & Accs,93.22,Cash,7.2
1/24/2024,Normal,Electronics,75.88,Ewallet,8.9
1/25/2024,Normal,Fashion & Accs,60.96,Credit card,4.9
1/25/2024,Normal,Food & Beverages,48.51,Credit card,5.2
1/25/2024,Member,Home & Lifestyle,60.01,Cash,4.5
1/25/2024,Normal,Health & Beauty,96.11,Ewallet,7.8
1/25/2024,Member,Health & Beauty,51.13,Credit card,4
1/25/2024,Member,Sports & Travel,40.05,Cash,9.7
1/25/2024,Normal,Sports & Travel,21.87,Ewallet,6.9
1/25/2024,Member,Fashion & Accs,15.43,Credit card,6.1
1/25/2024,Member,Home & Lifestyle,53.3,Ewallet,7.5
1/25/2024,Normal,Fashion & Accs,39.62,Cash,7.5
1/25/2024,Member,Fashion & Accs,84.87,Ewallet,7.4
1/25/2024,Member,Health & Beauty,90.5,Cash,8.1
1/25/2024,Normal,Electronics,26.23,Ewallet,5.9
1/25/2024,Member,Sports & Travel,70.19,Cash,6.7
1/25/2024,Normal,Health & Beauty,34.31,Ewallet,5.7
1/25/2024,Normal,Fashion & Accs,74.1,Cash,9.2
1/25/2024,Normal,Food & Beverages,88.36,Cash,9.6
1/26/2024,Member,Food & Beverages,80.05,Credit card,9.4
1/26/2024,Member,Health & Beauty,69.37,Ewallet,4
1/26/2024,Normal,Fashion & Accs,64.99,Credit card,4.5
1/26/2024,Normal,Fashion & Accs,12.09,Credit card,8.2
1/26/2024,Normal,Electronics,87.08,Cash,5.5
1/26/2024,Normal,Home & Lifestyle,25.55,Ewallet,5.7
1/26/2024,Member,Food & Beverages,78.88,Cash,9.1
1/26/2024,Normal,Food & Beverages,33.33,Credit card,6.4
1/26/2024,Normal,Electronics,51.69,Cash,5.5
1/26/2024,Normal,Sports & Travel,51.54,Cash,4.2
1/26/2024,Normal,Food & Beverages,96.68,Ewallet,6.4
1/26/2024,Member,Health & Beauty,33.81,Ewallet,7.3
1/26/2024,Normal,Fashion & Accs,21.32,Cash,5.9
1/26/2024,Normal,Sports & Travel,44.86,Ewallet,8.2
1/26/2024,Normal,Fashion & Accs,37.95,Cash,9.7
1/26/2024,Normal,Fashion & Accs,81.37,Cash,6.5
1/26/2024,Normal,Fashion & Accs,36.85,Cash,9.2
1/27/2024,Member,Electronics,73.26,Ewallet,9.7
1/27/2024,Member,Fashion & Accs,54.07,Ewallet,9.5
1/27/2024,Normal,Sports & Travel,14.36,Cash,5.4
1/27/2024,Normal,Food & Beverages,90.24,Cash,6.2
1/27/2024,Member,Electronics,46.57,Cash,7.6
1/27/2024,Normal,Home & Lifestyle,49.01,Credit card,4.2
1/27/2024,Member,Health & Beauty,58.22,Ewallet,8.4
1/27/2024,Normal,Sports & Travel,32.25,Cash,9
1/27/2024,Member,Health & Beauty,96.16,Credit card,8.4
1/27/2024,Normal,Home & Lifestyle,69.4,Ewallet,9
1/27/2024,Normal,Home & Lifestyle,12.03,Cash,5.1
1/27/2024,Normal,Food & Beverages,81.71,Credit card,8
1/27/2024,Member,Home & Lifestyle,24.24,Ewallet,9.4
1/27/2024,Normal,Fashion & Accs,54.28,Ewallet,9.3
1/28/2024,Normal,Home & Lifestyle,69.81,Credit card,5.9
1/28/2024,Normal,Health & Beauty,99.16,Credit card,4.2
1/28/2024,Member,Health & Beauty,19.15,Credit card,9.5
1/28/2024,Normal,Sports & Travel,80.97,Cash,9.3
1/28/2024,Normal,Food & Beverages,11.53,Cash,8.1
1/28/2024,Normal,Fashion & Accs,23.82,Ewallet,5.4
1/28/2024,Member,Electronics,21.43,Cash,6.2
1/28/2024,Normal,Health & Beauty,17.41,Credit card,4.9
1/28/2024,Member,Sports & Travel,78.07,Cash,4.5
1/28/2024,Member,Health & Beauty,75.37,Credit card,8.4
1/28/2024,Member,Electronics,18.77,Credit card,5.5
1/28/2024,Member,Health & Beauty,72.11,Credit card,7.7
1/28/2024,Member,Electronics,24.18,Ewallet,9.8
1/28/2024,Member,Health & Beauty,86.8,Ewallet,9.9
1/29/2024,Member,Fashion & Accs,32.62,Cash,9
1/29/2024,Normal,Electronics,58.76,Ewallet,9
1/29/2024,Member,Sports & Travel,22.01,Credit card,6.6
1/29/2024,Normal,Electronics,38.6,Ewallet,6.7
1/29/2024,Normal,Health & Beauty,40.35,Ewallet,6.2
1/29/2024,Member,Sports & Travel,27.93,Cash,5.9
1/29/2024,Normal,Fashion & Accs,42.08,Cash,8.9
1/29/2024,Normal,Food & Beverages,84.05,Credit card,7.7
1/29/2024,Member,Sports & Travel,19.15,Credit card,6.8
1/29/2024,Member,Sports & Travel,26.67,Cash,8.6
1/29/2024,Member,Home & Lifestyle,87.37,Cash,6.6
1/29/2024,Normal,Fashion & Accs,83.24,Credit card,7.4
1/30/2024,Normal,Home & Lifestyle,22.96,Cash,4.3
1/30/2024,Normal,Electronics,23.65,Credit card,4
1/30/2024,Member,Electronics,93.78,Credit card,5.9
1/30/2024,Member,Food & Beverages,98.52,Ewallet,4.5
1/30/2024,Normal,Sports & Travel,22.38,Credit card,8.6
1/30/2024,Normal,Food & Beverages,97.03,Ewallet,9.3
1/30/2024,Member,Home & Lifestyle,10.53,Credit card,5.8
1/30/2024,Normal,Sports & Travel,76.4,Ewallet,6.5
1/30/2024,Normal,Electronics,42.42,Ewallet,5.7
1/31/2024,Normal,Sports & Travel,23.75,Cash,9.5
1/31/2024,Member,Electronics,20.77,Cash,4.7
1/31/2024,Member,Fashion & Accs,98.7,Ewallet,8.5
1/31/2024,Normal,Electronics,43,Ewallet,7.6
1/31/2024,Normal,Electronics,72.13,Credit card,4.2
1/31/2024,Member,Fashion & Accs,51.34,Ewallet,7.6
1/31/2024,Member,Sports & Travel,75.82,Cash,5.8
1/31/2024,Normal,Fashion & Accs,62.18,Ewallet,6
1/31/2024,Member,Electronics,37.06,Ewallet,9.7
1/31/2024,Member,Sports & Travel,79.93,Cash,5.5
1/31/2024,Member,Electronics,87.87,Ewallet,5.6
1/31/2024,Normal,Fashion & Accs,69.08,Credit card,6.9
1/31/2024,Normal,Electronics,45.35,Ewallet,6.1
1/31/2024,Member,Electronics,66.35,Credit card,9.7
2/1/2024,Member,Food & Beverages,87.48,Ewallet,5.1
2/1/2024,Member,Food & Beverages,14.23,Credit card,4.4
2/1/2024,Member,Sports & Travel,69.52,Credit card,8.5
2/1/2024,Normal,Electronics,23.07,Cash,4.9
2/1/2024,Member,Home & Lifestyle,80.79,Credit card,9.5
2/1/2024,Member,Health & Beauty,77.68,Cash,8.4
2/2/2024,Member,Electronics,26.26,Cash,9.9
2/2/2024,Member,Fashion & Accs,43.13,Credit card,5.5
2/2/2024,Normal,Fashion & Accs,25.56,Cash,7.1
2/2/2024,Member,Food & Beverages,38.42,Cash,8.6
2/2/2024,Normal,Food & Beverages,65.97,Cash,8.4
2/2/2024,Member,Sports & Travel,51.52,Cash,9.6
2/2/2024,Normal,Electronics,35.49,Cash,4.1
2/2/2024,Member,Fashion & Accs,83.35,Credit card,9.5
2/2/2024,Member,Home & Lifestyle,56.11,Cash,6.3
2/2/2024,Member,Food & Beverages,46.55,Ewallet,6.4
2/2/2024,Normal,Home & Lifestyle,93.87,Credit card,8.3
2/2/2024,Normal,Food & Beverages,10.96,Ewallet,6
2/2/2024,Normal,Fashion & Accs,95.42,Ewallet,6.4
2/2/2024,Member,Health & Beauty,18.33,Cash,4.3
2/3/2024,Normal,Food & Beverages,27.28,Credit card,8.6
2/3/2024,Member,Food & Beverages,47.16,Credit card,6
2/3/2024,Member,Home & Lifestyle,94.88,Cash,4.2
2/3/2024,Member,Food & Beverages,91.4,Cash,9.5
2/3/2024,Member,Sports & Travel,55.07,Ewallet,10
2/3/2024,Normal,Sports & Travel,42.97,Cash,9.3
2/3/2024,Member,Home & Lifestyle,72.78,Cash,7.3
2/3/2024,Member,Fashion & Accs,53.78,Ewallet,4.7
2/3/2024,Normal,Fashion & Accs,77.02,Cash,5.5
2/3/2024,Member,Food & Beverages,67.45,Ewallet,4.2
2/3/2024,Normal,Food & Beverages,40.52,Cash,4.5
2/3/2024,Normal,Sports & Travel,73.95,Cash,6.1
2/3/2024,Normal,Sports & Travel,49.33,Credit card,9.4
2/3/2024,Member,Sports & Travel,73.97,Credit card,5.4
2/4/2024,Normal,Health & Beauty,13.85,Ewallet,6
2/4/2024,Member,Electronics,25.22,Cash,8.2
2/4/2024,Normal,Food & Beverages,67.77,Credit card,6.5
2/4/2024,Member,Food & Beverages,23.34,Ewallet,7.4
2/4/2024,Member,Home & Lifestyle,13.98,Ewallet,9.8
2/4/2024,Member,Electronics,71.95,Cash,7.3
2/4/2024,Normal,Sports & Travel,43.06,Ewallet,7.7
2/4/2024,Normal,Electronics,74.58,Credit card,9
2/4/2024,Member,Fashion & Accs,72.04,Cash,9.5
2/4/2024,Normal,Fashion & Accs,48.63,Ewallet,7.6
2/4/2024,Member,Home & Lifestyle,77.68,Ewallet,9.8
2/5/2024,Member,Fashion & Accs,30.62,Credit card,4.1
2/5/2024,Member,Food & Beverages,42.82,Credit card,8.9
2/5/2024,Member,Food & Beverages,47.27,Cash,8.8
2/5/2024,Member,Sports & Travel,16.49,Ewallet,4.6
2/5/2024,Member,Electronics,20.89,Cash,9.8
2/5/2024,Member,Fashion & Accs,69.33,Ewallet,9.7
2/5/2024,Normal,Health & Beauty,58.24,Cash,9.7
2/5/2024,Member,Food & Beverages,87.9,Ewallet,6.7
2/5/2024,Member,Sports & Travel,75.2,Ewallet,4.8
2/5/2024,Member,Health & Beauty,68.6,Cash,9.1
2/5/2024,Member,Health & Beauty,98.21,Credit card,7.8
2/5/2024,Member,Home & Lifestyle,25.91,Ewallet,8.7
2/6/2024,Normal,Health & Beauty,89.75,Credit card,6.6
2/6/2024,Member,Fashion & Accs,96.98,Ewallet,9.4
2/6/2024,Normal,Electronics,22.95,Ewallet,8.2
2/6/2024,Member,Food & Beverages,20.01,Ewallet,4.1
2/6/2024,Member,Home & Lifestyle,35.81,Ewallet,7.9
2/6/2024,Member,Food & Beverages,99.42,Ewallet,7.5
2/6/2024,Member,Health & Beauty,25.9,Ewallet,8.7
2/6/2024,Member,Home & Lifestyle,37.44,Credit card,5.9
2/6/2024,Member,Fashion & Accs,14.48,Ewallet,4.5
2/6/2024,Member,Health & Beauty,28.5,Cash,6.6
2/6/2024,Normal,Food & Beverages,52.42,Credit card,6.3
2/6/2024,Member,Electronics,50.45,Credit card,8.9
2/6/2024,Normal,Health & Beauty,35.68,Credit card,6.6
2/7/2024,Normal,Electronics,28.96,Credit card,6.2
2/7/2024,Normal,Fashion & Accs,60.41,Ewallet,9.6
2/7/2024,Normal,Health & Beauty,89.6,Ewallet,6.6
2/7/2024,Normal,Electronics,40.86,Credit card,6.5
2/7/2024,Member,Sports & Travel,45.58,Cash,9.8
2/7/2024,Member,Sports & Travel,10.17,Cash,5.9
2/7/2024,Member,Fashion & Accs,43.46,Ewallet,8.5
2/7/2024,Member,Electronics,65.94,Credit card,6.9
2/7/2024,Normal,Electronics,79.39,Cash,6.2
2/7/2024,Normal,Food & Beverages,16.48,Ewallet,9.9
2/7/2024,Normal,Health & Beauty,58.95,Ewallet,8.1
2/7/2024,Normal,Fashion & Accs,63.71,Ewallet,8.5
2/7/2024,Normal,Electronics,57.91,Cash,8.1
2/7/2024,Normal,Home & Lifestyle,93.12,Cash,6.8
2/7/2024,Normal,Fashion & Accs,86.13,Cash,8.2
2/7/2024,Normal,Food & Beverages,43.19,Ewallet,8.2
2/7/2024,Normal,Home & Lifestyle,22.02,Cash,6.8
2/7/2024,Normal,Home & Lifestyle,16.67,Ewallet,7.4
2/7/2024,Normal,Electronics,46.02,Cash,7.1
2/7/2024,Member,Food & Beverages,54.36,Credit card,6.1
2/8/2024,Normal,Fashion & Accs,33.52,Cash,6.7
2/8/2024,Normal,Sports & Travel,86.31,Ewallet,5.3
2/8/2024,Normal,Sports & Travel,90.28,Ewallet,7.2
